0.000000	0.047926	104
0.047926	0.095851	264
0.095851	0.143777	490
0.143777	0.191703	688
0.191703	0.239629	823
0.239629	0.287554	1017
0.287554	0.335480	1245
0.335480	0.383406	1376
0.383406	0.431331	1516
0.431331	0.479257	1672
0.479257	0.527183	2006
0.527183	0.575109	2049
0.575109	0.623034	2115
0.623034	0.670960	2221
0.670960	0.718886	2361
0.718886	0.766812	2406
0.766812	0.814737	2505
0.814737	0.862663	2630
0.862663	0.910589	2730
0.910589	0.958514	2694
0.958514	1.006440	2773
1.006440	1.054366	2728
1.054366	1.102292	2678
1.102292	1.150217	2743
1.150217	1.198143	2692
1.198143	1.246069	2685
1.246069	1.293994	2550
1.293994	1.341920	2622
1.341920	1.389846	2535
1.389846	1.437772	2508
1.437772	1.485697	2468
1.485697	1.533623	2336
1.533623	1.581549	2249
1.581549	1.629475	2180
1.629475	1.677400	2046
1.677400	1.725326	2075
1.725326	1.773252	1980
1.773252	1.821177	1834
1.821177	1.869103	1725
1.869103	1.917029	1678
1.917029	1.964954	1558
1.964954	2.012880	1468
2.012880	2.060806	1378
2.060806	2.108732	1328
2.108732	2.156657	1241
2.156657	2.204583	1171
2.204583	2.252509	1033
2.252509	2.300435	986
2.300435	2.348360	922
2.348360	2.396286	878
2.396286	2.444212	745
2.444212	2.492137	647
2.492137	2.540063	665
2.540063	2.587989	588
2.587989	2.635915	549
2.635915	2.683840	516
2.683840	2.731766	452
2.731766	2.779692	407
2.779692	2.827617	382
2.827617	2.875543	366
2.875543	2.923469	337
2.923469	2.971395	265
2.971395	3.019320	246
3.019320	3.067246	220
3.067246	3.115172	186
3.115172	3.163098	200
3.163098	3.211023	144
3.211023	3.258949	107
3.258949	3.306875	140
3.306875	3.354800	117
3.354800	3.402726	101
3.402726	3.450652	107
3.450652	3.498578	79
3.498578	3.546503	57
3.546503	3.594429	60
3.594429	3.642355	59
3.642355	3.690280	48
3.690280	3.738206	33
3.738206	3.786132	35
3.786132	3.834058	35
3.834058	3.881983	22
3.881983	3.929909	21
3.929909	3.977835	14
3.977835	4.025761	15
4.025761	4.073686	13
4.073686	4.121612	6
4.121612	4.169538	8
4.169538	4.217463	5
4.217463	4.265389	7
4.265389	4.313315	11
4.313315	4.361240	6
4.361240	4.409166	3
4.409166	4.457092	3
4.457092	4.505018	3
4.505018	4.552943	1
4.552943	4.600869	2
4.600869	4.648795	3
4.648795	4.696721	0
4.696721	4.744646	1
4.744646	4.792572	3
